,Date,Year,Month,Week_of_Year,Week_of_Month,BU_Name,SalesGrouping,Flow_Name,Flow_Source,Flow_Destination,SP_Name,NWB Export Account,NWB Exp Stockp,Act_Acc_No,Act Export Account,Act Exp Stockp,BU Plan Date,Actual Volume Date,Train Status,T1,SL,FL,T2,Rail_ConsignmentNo,RBCT_ConsignmentNo,Wagon_Type,CNWB_Volume,Act_Volume,RBCT_IngoMass,Block_Load,CNWB_Wagons,Act_Wagons,Source_TAT_SD,THT,TFR Delay subtracted,TLT,Plan Note External,Act Note External,CX_Group,CX_Reason,Cancellation Notes,Actual Notes,FirstOfEntry_ID
0,2012-01-01 00:00:00,2012,1,52,1,Location74,Location8,Location74 to Location98,Location74,Location179,None Selected,None Selected,None Selected,nan,None Selected,None Selected,2012-01-01 00:00:00,NaT,Train Cancelled,NaT,NaT,NaT,NaT,nan,nan,None,1760,0.0,0.0,40,40,0,6.0,nan,0,nan,Train did not run,nan,Location172,Crew time out,No crew available as a result of New Year's day.,nan,20131
1,2012-01-01 00:00:00,2012,1,52,1,Location74,Location38,Location74 to Location82,Location74,Location82,Steam - Mixed Nuts High Ash,None Selected,None Selected,nan,None Selected,None Selected,2012-01-01 00:00:00,2012-01-01 00:00:00,Train Ran,2012-01-01 15:40:00,2012-01-01 15:40:00,2012-01-01 18:40:00,2012-01-01 18:40:00,8083549008,nan,CCL,4350,4029.1,0.0,75,75,69,6.0,3.0,0,3.0,nan,nan,None,No Cancellation,None,nan,20144
2,2012-01-02 00:00:00,2012,1,1,1,Location54,Location8,Location54 to Location97,Location54,Location179,Coking Coal - Semi Soft Unsized,None Selected,None Selected,nan,None Selected,None Selected,2012-01-02 00:00:00,2012-01-02 00:00:00,Train Ran,2012-01-01 10:00:00,2012-01-02 08:35:00,2012-01-02 11:40:00,2012-01-02 11:55:00,8083575805,nan,CFR,4234,4267.472,0.0,75,73,73,8.0,25.916666666802485,0,3.083333333255723,Train 8083575805 planned for 2012/01/02 arrived on 2012/01/01,Train 8083575805 was planned for 2012/01/02 but arrived on 2012/01/01,None,No Cancellation,None,nan,20178
3,2012-01-02 00:00:00,2012,1,1,1,Location54,Domestic Clients,Location54 to Location14,Location54,Location14,Steam - Peas,None Selected,None Selected,nan,None Selected,None Selected,2012-01-08 00:00:00,2012-01-02 00:00:00,Train Ran,2012-01-01 16:00:00,2012-01-02 14:30:00,2012-01-02 16:40:00,2012-01-02 17:10:00,8083576313,nan,DZ,960,942.62,0.0,20,34,34,12.0,25.166666666802485,0,2.166666666744277,Train 8083576313 planned for 2012/01/08 arrived on 2012/01/01,Train 8083576313 was planned for 2012/01/08 but arrived on 2012/01/01,None,No Cancellation,None,nan,20219
4,2012-01-02 00:00:00,2012,1,1,1,Location63,Exports,Location63 to Location125 (Location209),Location63,Location125,Steam - Unsized,Location40,AMX,nan,Location40,AMX,2012-01-02 00:00:00,2012-01-02 00:00:00,Train Ran,2012-01-02 16:35:00,2012-01-02 17:30:00,2012-01-02 21:30:00,2012-01-02 21:35:00,8083550892,Location191 326 (99002380),CCL,8400,6474.0,6272.0,100,100,78,4.0,5.000000000058208,0,4.000000000116415,nan,nan,None,No Cancellation,None,"1) 02/01 05:00 : Empties are planned to depart Ermelo at 10:30 on Train 414.
2) 02/01 14:30 : Empties departed as train 442 at 12:27 from Ermelo.
3) 03/01 05:00 : Loaded :  Waiting for load advice documentation from the mine.",20159
5,2012-01-02 00:00:00,2012,1,1,1,Location74,Location8,Location74 to Location98,Location74,Location179,Metallurgical - Peas,None Selected,None Selected,nan,None Selected,None Selected,2012-01-02 00:00:00,2012-01-02 00:00:00,Train Ran,2012-01-02 09:00:00,2012-01-02 09:00:00,2012-01-02 10:10:00,2012-01-02 10:10:00,8083564082,nan,ASJ,1760,1557.6,0.0,40,40,36,6.0,1.1666666666278616,0,1.1666666666278616,nan,nan,None,No Cancellation,None,"1) 2/1 07:05 : Taxi on hand Delmas waiting for 06:00 crew from Leeuhof.
2) 2/1 08:10 : Busy loading.",20180
6,2012-01-02 00:00:00,2012,1,1,1,Location74,Location38,Location74 to Location82,Location74,Location82,None Selected,None Selected,None Selected,nan,None Selected,None Selected,2012-01-02 00:00:00,NaT,Train Cancelled,NaT,NaT,NaT,NaT,nan,nan,None,4350,0.0,0.0,75,75,0,6.0,nan,0,nan,Train did not run,nan,BU,Out of spec,BU : Product out of specification.,nan,20181
7,2012-01-02 00:00:00,2012,1,1,1,Location74,Exports,Location74 to Location125 (Location40 MP LTA),Location74,Location125,Lean Coal,Location40,XAR,nan,Location40,XAR,2012-01-02 00:00:00,2012-01-02 00:00:00,Train Ran,2012-01-02 11:35:00,2012-01-02 11:35:00,2012-01-02 17:35:00,2012-01-02 17:35:00,8083526281,XAR 197 (99002327),CCL,5800,5936.8,5984.0,100,100,100,4.0,6.0,0,6.0,nan,nan,None,No Cancellation,None,1) 02/01 05:00 : Empties departed Ermelo at 04:30 on Train no. 414.,20160
8,2012-01-02 00:00:00,2012,1,1,1,Location80,Exports,Location80 to Location125 (Location162 - Location40),Location80,Location125,None Selected,Location162,SDM,nan,None Selected,None Selected,2012-01-02 00:00:00,NaT,Train Plan Not Approved,NaT,NaT,NaT,NaT,nan,nan,None,0,0.0,0.0,100,0,0,4.0,nan,0,nan,nan,nan,None,No Cancellation,None,Preliminary requested - not approved.,20161
9,2012-01-03 00:00:00,2012,1,1,1,Location54,Location8,Location54 to Location92,Location54,Location110,Coking Coal - Semi Soft Unsized,None Selected,None Selected,nan,None Selected,None Selected,2012-01-03 00:00:00,2012-01-03 00:00:00,Train Ran,2012-01-03 18:10:00,2012-01-03 19:05:00,2012-01-03 21:03:00,2012-01-03 21:20:00,8083575814,nan,CFR,3632,3627.903,0.0,75,64,64,12.0,3.166666666686069,0,1.96666666661622,nan,nan,None,No Cancellation,None,"1) 2/1 16:45 : Empties on hand Pyramid South for connection on train 7891 to Thabazimbi.
2) 3/1 05:00 : Empties enroute from Pyramid South to Thabazimbi with Train 7891 - 2/1.  From Thabazimbi to Location54 the load will have to wait for a connection.
",20184
10,2012-01-03 00:00:00,2012,1,1,1,Location54,Location8,Location54 to Location93,Location54,Location110,Market Coal - Unsized,None Selected,None Selected,nan,None Selected,None Selected,2012-01-02 00:00:00,2012-01-03 00:00:00,Train Ran,2012-01-02 14:00:00,2012-01-03 08:17:00,2012-01-03 12:00:00,2012-01-03 12:25:00,8083575791,nan,CFR,4292,4303.316,0.0,75,74,74,12.0,22.416666666569654,0,3.7166666667326353,nan,nan,None,No Cancellation,None,"1) 2/1 16:45 : Empties on hand Location54.
2) 3/1 05:00 : Busy loading.",20179
11,2012-01-03 00:00:00,2012,1,1,1,Location54,Location8,Location54 to Location96,Location54,Location171,Steam - Small Nuts,None Selected,None Selected,nan,None Selected,None Selected,2012-01-03 00:00:00,2012-01-03 00:00:00,Train Ran,2011-12-31 20:20:00,2012-01-02 21:00:00,2012-01-03 04:00:00,2012-01-03 07:25:00,8083575832,nan,CCL,4292,4008.9,0.0,73,74,74,12.0,59.083333333488554,0,6.999999999941792,Train 8083575832 planned for 2012/01/03 arrived on 2011/12/31,Train 8083575832 was planned for 2012/01/03 but arrived on 2011/12/31,None,No Cancellation,None,"1) 2/1 16:45 : Empties on hand Location54.
2) 3/1 05:00 : Busy loading.",20185
