,ZZEX_TREND_PERIOD1,ZZEX_TREND_PERIOD2,ZZEX_TREND_ENTITY,ZZEX_TREND_ID,ZZEX_TREND_RISK_ID,ZZEX_TREND_RISK_T_P1,ZZEX_TREND_RISK_T_P2,ZZEX_TREND_RISK_STATUS_P1,ZZEX_TREND_RISK_STATUS_P2,ZZEX_TREND_RISK_CHANGE_BY_P1,ZZEX_TREND_RISK_CHANGE_BY_P2,ZZEX_TREND_RISK_CHANGE_ON_P1,ZZEX_TREND_RISK_CHANGE_ON_P2,ZZEX_TREND_REP_CONTROL_ID_P1,ZZEX_TREND_REP_CONTROL_ID_P2,ZZEX_TREND_REFCRISK_P1,ZZEX_TREND_REFCRISK_P2,ZZEX_TREND_DISTRIB_METHOD_P1,ZZEX_TREND_DISTRIB_METHOD_P2,ZZEX_TREND_DISTRIB_T_METHOD_P1,ZZEX_TREND_DISTRIB_T_METHOD_P2,ZZEX_TREND_RISK_IS_LOCAL_P1,ZZEX_TREND_ORG_P1,ZZEX_TREND_ORG_P2,ZZEX_TREND_ORG_T_P1,ZZEX_TREND_ORG_T_P2,ZZEX_TREND_PARENT_OBJTYPE_P1,ZZEX_TREND_PARENT_OBJTYPE_P2,ZZEX_TREND_RISK_OWN_P1,ZZEX_TREND_RISK_OWN_P2,ZZEX_TREND_RISK_TYPE_P1,ZZEX_TREND_RISK_TYPE_P2,ZZEX_TREND_RISK_TYPE_T_P1,ZZEX_TREND_RISK_TYPE_T_P2,ZZEX_TREND_RISK_VALID_FROM_P1,ZZEX_TREND_RISK_VALID_FROM_P2,ZZEX_TREND_RISK_VALID_TO_P1,ZZEX_TREND_RISK_VALID_TO_P2,ZZEX_TREND_ANA_INH_IML_P1,ZZEX_TREND_ANA_INH_IML_P2,ZZEX_TREND_ANA_INH_IML_T_P1,ZZEX_TREND_ANA_INH_IML_T_P2,ZZEX_TREND_ANA_INH_IMS_P1,ZZEX_TREND_ANA_INH_IMS_P2,ZZEX_TREND_ANA_INH_PRB_P1,ZZEX_TREND_ANA_INH_PRB_P2,ZZEX_TREND_ANA_INH_PRL_P1,ZZEX_TREND_ANA_INH_PRL_P2,ZZEX_TREND_ANA_INH_PRL_T_P1,ZZEX_TREND_ANA_INH_PRL_T_P2,ZZEX_TREND_ANA_INH_PRS_P1,ZZEX_TREND_ANA_INH_PRS_P2,ZZEX_TREND_ANA_INH_RSL_P1,ZZEX_TREND_ANA_INH_RSL_P2,ZZEX_TREND_ANA_INH_RSL_T_P1,ZZEX_TREND_ANA_INH_RSL_T_P2,ZZEX_TREND_ANA_INH_RSS_P1,ZZEX_TREND_ANA_INH_RSS_P2,ZZEX_TREND_ANA_RSA_IML_P1,ZZEX_TREND_ANA_RSA_IML_P2,ZZEX_TREND_ANA_RSA_IML_T_P1,ZZEX_TREND_ANA_RSA_IML_T_P2,ZZEX_TREND_ANA_RSA_IMS_P1,ZZEX_TREND_ANA_RSA_IMS_P2,ZZEX_TREND_ANA_RSA_PRB_P1,ZZEX_TREND_ANA_RSA_PRB_P2,ZZEX_TREND_ANA_RSA_PRL_P1,ZZEX_TREND_ANA_RSA_PRL_P2,ZZEX_TREND_ANA_RSA_PRL_T_P1,ZZEX_TREND_ANA_RSA_PRL_T_P2,ZZEX_TREND_ANA_RSA_PRS_P1,ZZEX_TREND_ANA_RSA_PRS_P2,ZZEX_TREND_ANA_RSA_RSL_P1,ZZEX_TREND_ANA_RSA_RSL_P2,ZZEX_TREND_ANA_RSA_RSL_T_P1,ZZEX_TREND_ANA_RSA_RSL_T_P2,ZZEX_TREND_ANA_RSA_RSS_P1,ZZEX_TREND_ANA_RSA_RSS_P2,ZZEX_TREND_ANA_RSP_IML_P1,ZZEX_TREND_ANA_RSP_IML_P2,ZZEX_TREND_ANA_RSP_IML_T_P1,ZZEX_TREND_ANA_RSP_IML_T_P2,ZZEX_TREND_ANA_RSP_IMS_P1,ZZEX_TREND_ANA_RSP_IMS_P2,ZZEX_TREND_ANA_RSP_PRB_P1,ZZEX_TREND_ANA_RSP_PRB_P2,ZZEX_TREND_ANA_RSP_PRL_P1,ZZEX_TREND_ANA_RSP_PRL_P2,ZZEX_TREND_ANA_RSP_PRL_T_P1,ZZEX_TREND_ANA_RSP_PRL_T_P2,ZZEX_TREND_ANA_RSP_PRS_P1,ZZEX_TREND_ANA_RSP_PRS_P2,ZZEX_TREND_ANA_RSP_RSL_P1,ZZEX_TREND_ANA_RSP_RSL_P2,ZZEX_TREND_ANA_RSP_RSL_T_P1,ZZEX_TREND_ANA_RSP_RSL_T_P2,ZZEX_TREND_ANA_RSP_RSS_T_P1,ZZEX_TREND_ANA_RSP_RSS_T_P2,ZZEX_TREND_RISK_RISK_LEVEL_P1,ZZEX_TREND_RISK_RISK_LEVEL_P2,ZZEX_TREND_RISK_RISK_LEVEL_TP1,ZZEX_TREND_RISK_RISK_LEVEL_TP2,ODQ_CHANGEMODE,ODQ_ENTITYCNTR,LOAD_DATE
0,1/01/2021,1/07/2021,RS,,50000723,Flooding,Flooding,Active,Active,20046082,20046082,9/06/2021,9/06/2021,,,50000810,50000810,X,X,Copy,Copy,X,50000698,50000698,,,ORGUNIT,ORGUNIT,20101813,20101813,0BOWTIE,0BOWTIE,Operational,,29/11/2012,29/11/2012,31/12/9999,31/12/9999,5,5,Catastrophic,Catastrophic,85,85,75,75,75,75,Likely,Likely,0.75,0.75,VH,VH,Very High,Very High,63.75,63.75,5,5,Catastrophic,Catastrophic,81.2,81.2,60.05,60.05,60,60,Possible,Possible,0.6005,0.6005,VH,VH,Very High,Very High,48.7606,48.7606,5,5,Catastrophic,Catastrophic,81.2,81.2,56.85,56.85,56,56,Possible,,0.5685,0.5685,VH,VH,Very High,Very High,46.1622,46.1622,VH,VH,Very High,Very High,,0,59:03.4
1,1/01/2021,1/07/2021,RS,,50000734,Inadequate TFR performance,Inadequate TFR performance,Active,Active,20046082,20046082,5/07/2021,5/07/2021,,,50000638,50000638,X,X,Copy,Copy,X,50000698,50000698,,,ORGUNIT,ORGUNIT,20014344,20014344,0BOWTIE,0BOWTIE,Operational,,29/11/2012,29/11/2012,31/12/9999,31/12/9999,5,5,Catastrophic,Catastrophic,93,95,99,99,99,99,Almost Certain,Almost Certain,0.99,0.99,VH,VH,Very High,Very High,92.07,94.05,5,5,Catastrophic,Catastrophic,90,95,81.9,82.85,81,82,Almost Certain,Almost Certain,0.819,0.8285,VH,VH,Very High,Very High,73.71,78.7075,5,5,Catastrophic,Catastrophic,90,95,80.7,81.65,80,81,Almost Certain,,0.807,0.8165,VH,VH,Very High,Very High,72.63,77.5675,VH,VH,Very High,Very High,,0,59:03.4
2,1/01/2021,1/07/2021,RS,,50000755,Unavailability of electricity,Unavailability of electricity,Active,Active,20046082,20046082,9/06/2021,9/06/2021,,,50000753,50000753,X,X,Copy,Copy,X,50000698,50000698,,,ORGUNIT,ORGUNIT,20104552,20104552,0BOWTIE,0BOWTIE,Operational,,29/11/2012,29/11/2012,31/12/9999,31/12/9999,4,4,Major,Major,70,70,50,50,50,50,Possible,Possible,0.5,0.5,VH,VH,Very High,Very High,35,35,4,4,Major,Major,70,70,14,14,14,14,Unlikely,Unlikely,0.14,0.14,H,H,High,High,9.8,9.8,4,4,Major,Major,70,70,13,13,13,13,Unlikely,,0.13,0.13,H,H,High,High,9.1,9.1,H,H,High,High,,0,59:03.4
3,1/01/2021,1/07/2021,RS,,50002039,Theft of property,Theft of property,Active,Active,20046082,20046082,9/06/2021,9/06/2021,,,50002022,50002022,X,X,Copy,Copy,X,50000698,50000698,,,ORGUNIT,ORGUNIT,71459,71459,0BOWTIE,0BOWTIE,Operational,,6/03/2013,6/03/2013,31/12/9999,31/12/9999,3,5,Moderate,Catastrophic,60,95,99,99,99,99,Almost Certain,Almost Certain,0.99,0.99,VH,VH,Very High,Very High,59.4,94.05,3,5,Moderate,Catastrophic,60,95,57.95,66.2,57,66,Possible,Likely,0.5795,0.662,H,VH,High,Very High,34.77,62.89,3,5,Moderate,Catastrophic,60,95,54.95,62.7,54,62,Likely,,0.5495,0.627,H,VH,High,Very High,32.97,59.565,H,VH,High,Very High,,0,59:03.4
4,1/01/2021,1/07/2021,RS,,50002040,Community unrest,Community unrest,Active,Active,20046082,20046082,9/06/2021,9/06/2021,,,50000785,50000785,X,X,Copy,Copy,X,50000698,50000698,,,ORGUNIT,ORGUNIT,20115768,20115768,0BOWTIE,0BOWTIE,Operational,,6/03/2013,6/03/2013,31/12/9999,31/12/9999,5,5,Catastrophic,Catastrophic,90,90,85,95,85,95,Almost Certain,Almost Certain,0.85,0.95,VH,VH,Very High,Very High,76.5,85.5,5,5,Catastrophic,Catastrophic,90,90,69.9,79.9,69,79,Likely,Likely,0.699,0.799,VH,VH,Very High,Very High,62.91,71.91,5,5,Catastrophic,Catastrophic,90,90,67.5,77.5,67,77,Likely,,0.675,0.775,VH,VH,Very High,Very High,60.75,69.75,VH,VH,Very High,Very High,,0,59:03.4
5,1/01/2021,1/07/2021,RS,,50002043,Non-compliance to mine rehab requirement,Non-compliance to mine rehab requirement,Active,Active,20046082,20046082,9/06/2021,9/06/2021,,,50000796,50000796,X,X,Copy,Copy,X,50000698,50000698,,,ORGUNIT,ORGUNIT,20101813,20101813,0BOWTIE,0BOWTIE,Operational,,6/03/2013,6/03/2013,31/12/9999,31/12/9999,4,5,Major,Catastrophic,80,90,95,95,95,95,Almost Certain,Almost Certain,0.95,0.95,VH,VH,Very High,Very High,76,85.5,4,5,Major,Catastrophic,77.75,88.25,73.3,81.4,73,81,Likely,Almost Certain,0.733,0.814,VH,VH,Very High,Very High,56.99075,71.8355,4,5,Major,Catastrophic,76.25,86.25,64.55,74.95,64,74,Likely,,0.6455,0.7495,VH,VH,Very High,Very High,49.21938,64.64438,VH,VH,Very High,Very High,,0,59:03.4
6,1/01/2021,1/07/2021,RS,,50002044,Water pollution,Water pollution,Active,Active,20046082,20046082,31/03/2017,31/03/2017,,,50000799,50000799,X,X,Copy,Copy,X,50005751,50005751,,,ORGUNIT,ORGUNIT,7558694,7558694,0BOWTIE,0BOWTIE,Operational,,6/03/2013,6/03/2013,31/12/9999,31/12/9999,4,4,Major,Major,80,80,70,70,70,70,Likely,Likely,0.7,0.7,VH,VH,Very High,Very High,56,56,4,4,Major,Major,80,80,36,36,36,36,Possible,Possible,0.36,0.36,VH,VH,Very High,Very High,28.8,28.8,4,4,Major,Major,80,80,5.5,5.5,5,5,Rare,,0.055,0.055,H,H,High,High,4.4,4.4,VH,VH,Very High,Very High,,0,59:03.4
7,1/01/2021,1/07/2021,RS,,50002046,Inadequate waste management,Inadequate waste management,Active,Active,20046082,20046082,31/03/2017,31/03/2017,,,50000798,50000798,X,X,Copy,Copy,X,50005751,50005751,,,ORGUNIT,ORGUNIT,7558694,7558694,0BOWTIE,0BOWTIE,Operational,,6/03/2013,6/03/2013,31/12/9999,31/12/9999,2,2,Minor,Minor,30,30,90,90,90,90,Almost Certain,Almost Certain,0.9,0.9,H,H,High,High,27,27,2,2,Minor,Minor,30,30,56.25,56.25,56,56,Possible,Possible,0.5625,0.5625,M,M,Medium,Medium,16.875,16.875,2,2,Minor,Minor,30,30,51.75,51.75,51,51,Possible,,0.5175,0.5175,M,M,Medium,Medium,15.525,15.525,M,M,Medium,Medium,,0,59:03.4
8,1/01/2021,1/07/2021,RS,,50002047,Fraud and corruption,Fraud and corruption,Active,Active,20046082,20046082,9/06/2021,9/06/2021,,,50000803,50000803,X,X,Copy,Copy,X,50000698,50000698,,,ORGUNIT,ORGUNIT,71459,71459,0BOWTIE,0BOWTIE,Operational,,6/03/2013,6/03/2013,31/12/9999,31/12/9999,2,2,Minor,Minor,35,35,80,80,80,80,Likely,Likely,0.8,0.8,M,M,Medium,Medium,28,28,2,2,Minor,Minor,11.5,11.5,64,64,64,64,Likely,Likely,0.64,0.64,M,M,Medium,Medium,7.36,7.36,1,1,Insignificant,Insignificant,9.5,9.5,63,63,63,63,Likely,,0.63,0.63,M,M,Medium,Medium,5.985,5.985,M,M,Medium,Medium,,0,59:03.4
9,1/01/2021,1/07/2021,RS,,50002049,Non-adherence to air quality standards,Non-adherence to air quality standards,Active,Active,20046082,20046082,9/06/2021,9/06/2021,,,50000827,50000827,X,X,Copy,Copy,X,50000698,50000698,,,ORGUNIT,ORGUNIT,7558694,7558694,0BOWTIE,0BOWTIE,Operational,,6/03/2013,6/03/2013,31/12/9999,31/12/9999,4,4,Major,Major,80,80,80,80,80,80,Likely,Likely,0.8,0.8,VH,VH,Very High,Very High,64,64,4,4,Major,Major,80,80,48.9,48.9,48,48,Possible,Possible,0.489,0.489,VH,VH,Very High,Very High,39.12,39.12,4,4,Major,Major,80,80,47.7,47.7,47,47,Possible,,0.477,0.477,VH,VH,Very High,Very High,38.16,38.16,VH,VH,Very High,Very High,,0,59:03.4
