,PLVAR,OTYPE,OBJID,SUBTY,ISTAT,BEGDA,ENDDA,VARYF,SEQNR,INFTY,OTJID,AEDTM,UNAME,REASN,HISTO,ITXNR,CC_ID,CC_TYPE,CC_INDEX,TABNR,ODQ_CHANGEMODE,ODQ_ENTITYCNTR,LOAD_DATE
0,01,O1,50000619,,1,2012-11-28,9999-12-31,,000,1846,O150000619,2012-11-28,20026590,,,00000000,0000000002,RC,001,RP3-----100A00000000000000004442,,0,2019-07-29 19:49:57.250
1,01,O1,50000619,,1,2012-11-28,9999-12-31,,001,1846,O150000619,2012-11-28,20026590,,,00000000,0000000002,RC,002,RP3-----100A00000000000000004443,,0,2019-07-29 19:49:57.250
2,01,O1,50000619,,1,2012-11-28,9999-12-31,,002,1846,O150000619,2012-11-28,20026590,,,00000000,0000000002,RC,003,RP3-----100A00000000000000004444,,0,2019-07-29 19:49:57.250
3,01,O1,50000619,,1,2012-11-28,9999-12-31,,003,1846,O150000619,2012-11-28,20026590,,,00000000,0000000001,IC,004,RP3-----100A00000000000000004445,,0,2019-07-29 19:49:57.250
4,01,O1,50000619,,1,2012-11-28,9999-12-31,,004,1846,O150000619,2012-11-28,20026590,,,00000000,0000000003,IC,001,RP3-----100A00000000000000004446,,0,2019-07-29 19:49:57.250
5,01,O1,50000619,,1,2012-11-28,9999-12-31,,005,1846,O150000619,2012-11-28,20026590,,,00000000,0000000003,IC,002,RP3-----100A00000000000000004447,,0,2019-07-29 19:49:57.250
6,01,O1,50000619,,1,2012-11-28,9999-12-31,,006,1846,O150000619,2012-11-28,20026590,,,00000000,0000000003,IC,003,RP3-----100A00000000000000004448,,0,2019-07-29 19:49:57.250
7,01,O1,50000620,,1,2012-11-28,2013-03-03,,000,1846,O150000620,2013-03-04,20026590,,,00000000,0000000009,RC,001,RP3-----100A00000000000000004450,,0,2019-07-29 19:49:57.250
8,01,O1,50000620,,1,2012-11-28,2013-03-03,,001,1846,O150000620,2013-03-04,20026590,,,00000000,0000000009,RC,002,RP3-----100A00000000000000004451,,0,2019-07-29 19:49:57.250
9,01,O1,50000620,,1,2012-11-28,2013-03-03,,002,1846,O150000620,2013-03-04,20026590,,,00000000,0000000001,IC,003,RP3-----100A00000000000000004452,,0,2019-07-29 19:49:57.250
10,01,O1,50000620,,1,2012-11-28,2013-03-03,,003,1846,O150000620,2013-03-04,20026590,,,00000000,0000000003,IC,001,RP3-----100A00000000000000004453,,0,2019-07-29 19:49:57.250
11,01,O1,50000620,,1,2012-11-28,2013-03-03,,004,1846,O150000620,2013-03-04,20026590,,,00000000,0000000003,IC,002,RP3-----100A00000000000000004454,,0,2019-07-29 19:49:57.250
12,01,O1,50000620,,1,2012-11-28,2013-03-03,,005,1846,O150000620,2013-03-04,20026590,,,00000000,0000000003,IC,005,RP3-----100A00000000000000004455,,0,2019-07-29 19:49:57.250
13,01,O1,50000620,,1,2012-11-28,2013-03-03,,006,1846,O150000620,2013-03-04,20026590,,,00000000,0000000005,IC,004,RP3-----100A00000000000000004456,,0,2019-07-29 19:49:57.250
14,01,O1,50000621,,1,2012-11-28,9999-12-31,,000,1846,O150000621,2012-11-28,20026590,,,00000000,0000000005,RC,001,RP3-----100A00000000000000004458,,0,2019-07-29 19:49:57.250
15,01,O1,50000621,,1,2012-11-28,9999-12-31,,001,1846,O150000621,2012-11-28,20026590,,,00000000,0000000005,RC,003,RP3-----100A00000000000000004459,,0,2019-07-29 19:49:57.250
16,01,O1,50000621,,1,2012-11-28,9999-12-31,,002,1846,O150000621,2012-11-28,20026590,,,00000000,0000000009,RC,002,RP3-----100A00000000000000004460,,0,2019-07-29 19:49:57.250
17,01,O1,50000621,,1,2012-11-28,9999-12-31,,003,1846,O150000621,2012-11-28,20026590,,,00000000,0000000001,IC,002,RP3-----100A00000000000000004461,,0,2019-07-29 19:49:57.250
18,01,O1,50000621,,1,2012-11-28,9999-12-31,,004,1846,O150000621,2012-11-28,20026590,,,00000000,0000000005,IC,003,RP3-----100A00000000000000004462,,0,2019-07-29 19:49:57.250
19,01,O1,50000621,,1,2012-11-28,9999-12-31,,005,1846,O150000621,2012-11-28,20026590,,,00000000,0000000003,IC,001,RP3-----100A00000000000000004463,,0,2019-07-29 19:49:57.250
20,01,O1,50000622,,1,2012-11-28,9999-12-31,,000,1846,O150000622,2012-11-28,20026590,,,00000000,0000000004,RC,001,RP3-----100A00000000000000004465,,0,2019-07-29 19:49:57.250
21,01,O1,50000622,,1,2012-11-28,9999-12-31,,001,1846,O150000622,2012-11-28,20026590,,,00000000,0000000001,IC,001,RP3-----100A00000000000000004466,,0,2019-07-29 19:49:57.250
22,01,O1,50000623,,1,2012-11-28,9999-12-31,,000,1846,O150000623,2012-11-28,20026590,,,00000000,0000000005,RC,002,RP3-----100A00000000000000004468,,0,2019-07-29 19:49:57.250
23,01,O1,50000623,,1,2012-11-28,9999-12-31,,001,1846,O150000623,2012-11-28,20026590,,,00000000,0000000009,RC,001,RP3-----100A00000000000000004469,,0,2019-07-29 19:49:57.250
24,01,O1,50000623,,1,2012-11-28,9999-12-31,,002,1846,O150000623,2012-11-28,20026590,,,00000000,0000000001,IC,001,RP3-----100A00000000000000004470,,0,2019-07-29 19:49:57.250
25,01,O1,50000623,,1,2012-11-28,9999-12-31,,003,1846,O150000623,2012-11-28,20026590,,,00000000,0000000001,IC,002,RP3-----100A00000000000000004471,,0,2019-07-29 19:49:57.250
26,01,O1,50000623,,1,2012-11-28,9999-12-31,,004,1846,O150000623,2012-11-28,20026590,,,00000000,0000000001,IC,003,RP3-----100A00000000000000004472,,0,2019-07-29 19:49:57.250
27,01,O1,50000624,,1,2012-11-28,9999-12-31,,000,1846,O150000624,2012-11-28,20026590,,,00000000,0000000005,RC,001,RP3-----100A00000000000000004474,,0,2019-07-29 19:49:57.250
28,01,O1,50000624,,1,2012-11-28,9999-12-31,,001,1846,O150000624,2012-11-28,20026590,,,00000000,0000000001,IC,001,RP3-----100A00000000000000004475,,0,2019-07-29 19:49:57.250
29,01,O1,50000625,,1,2012-11-28,9999-12-31,,000,1846,O150000625,2012-11-28,20026590,,,00000000,0000000004,RC,001,RP3-----100A00000000000000004477,,0,2019-07-29 19:49:57.250
30,01,O1,50000625,,1,2012-11-28,9999-12-31,,001,1846,O150000625,2012-11-28,20026590,,,00000000,0000000004,RC,002,RP3-----100A00000000000000004478,,0,2019-07-29 19:49:57.250
31,01,O1,50000625,,1,2012-11-28,9999-12-31,,002,1846,O150000625,2012-11-28,20026590,,,00000000,0000000001,IC,002,RP3-----100A00000000000000004479,,0,2019-07-29 19:49:57.250
32,01,O1,50000625,,1,2012-11-28,9999-12-31,,003,1846,O150000625,2012-11-28,20026590,,,00000000,0000000003,IC,001,RP3-----100A00000000000000004480,,0,2019-07-29 19:49:57.250
33,01,O1,50000625,,1,2012-11-28,9999-12-31,,004,1846,O150000625,2012-11-28,20026590,,,00000000,0000000003,IC,003,RP3-----100A00000000000000004481,,0,2019-07-29 19:49:57.250
