,IMP_CATG,DEACTIVATED,IMP_CATG_TX,IMP_CATG_DESC,ODQ_CHANGEMODE,ODQ_ENTITYCNTR,LOAD_DATE
0,0000000001,,Quality,Quality,,0,2023-05-24 17:30:10.617
1,0000000002,,Project performance,Project performance Impact,,0,2023-05-24 17:30:10.617
2,0000000003,,Operations,Operations Impact,,0,2023-05-24 17:30:10.617
3,0000000004,,Health,Health Impact,,0,2023-05-24 17:30:10.617
4,0000000005,,Safety,Safety Impact,,0,2023-05-24 17:30:10.617
5,0000000006,,Environment,Environmental Impact,,0,2023-05-24 17:30:10.617
6,0000000007,,Stakeholder Relations,Stakeholder Relations Impact,,0,2023-05-24 17:30:10.617
7,0000000008,,Legal and Compliance,Legal and Compliance Impact,,0,2023-05-24 17:30:10.617
8,0000000009,,Human Resources,Human Resources Impact,,0,2023-05-24 17:30:10.617
9,0000000011,,Financial,Financial Impact,,0,2023-05-24 17:30:10.617
